"features" "measure" "axis" "activity" "subject" "average"
"45" "tBodyGyro" "mean" "X" "SITTING" 15 -0.0377111130338983
"46" "tBodyGyro" "mean" "X" "SITTING" 16 -0.0412014042275362
"47" "tBodyGyro" "mean" "X" "SITTING" 17 -0.042549159015625
"48" "tBodyGyro" "mean" "X" "SITTING" 18 -0.0333057034385965
"49" "tBodyGyro" "mean" "X" "SITTING" 19 -0.0214151280054795
"50" "tBodyGyro" "mean" "X" "SITTING" 20 -0.036405928969697
"51" "tBodyGyro" "mean" "X" "SITTING" 21 -0.0198712820612471
"52" "tBodyGyro" "mean" "X" "SITTING" 22 -0.0360430675032258
"53" "tBodyGyro" "mean" "X" "SITTING" 23 -0.0472583464367647
"54" "tBodyGyro" "mean" "X" "SITTING" 24 -0.0356229619955882
"55" "tBodyGyro" "mean" "X" "SITTING" 25 -0.0352052091230769
"56" "tBodyGyro" "mean" "X" "SITTING" 26 -0.0370217449628205
"57" "tBodyGyro" "mean" "X" "SITTING" 27 -0.0371830822285714
"58" "tBodyGyro" "mean" "X" "SITTING" 28 -0.0339018030166667
"59" "tBodyGyro" "mean" "X" "SITTING" 29 -0.0379271112333333
"60" "tBodyGyro" "mean" "X" "SITTING" 30 -0.0358426482048387
"61" "tBodyGyro" "mean" "X" "STANDING" 1 -0.0239877347979245
"62" "tBodyGyro" "mean" "X" "STANDING" 2 -0.0238623875712963
"63" "tBodyGyro" "mean" "X" "STANDING" 3 -0.0246626070770492
"64" "tBodyGyro" "mean" "X" "STANDING" 4 -0.0306449342357143
"65" "tBodyGyro" "mean" "X" "STANDING" 5 -0.0322711902673214
"66" "tBodyGyro" "mean" "X" "STANDING" 6 -0.028251913022807
"67" "tBodyGyro" "mean" "X" "STANDING" 7 -0.0291582212545283
"68" "tBodyGyro" "mean" "X" "STANDING" 8 -0.0219671978203704
"69" "tBodyGyro" "mean" "X" "STANDING" 9 -0.029183136346
"70" "tBodyGyro" "mean" "X" "STANDING" 10 -0.0281854325604545
"71" "tBodyGyro" "mean" "X" "STANDING" 11 -0.0293141521489362
"72" "tBodyGyro" "mean" "X" "STANDING" 12 -0.0300030427426229
"73" "tBodyGyro" "mean" "X" "STANDING" 13 -0.0295492164431579
"74" "tBodyGyro" "mean" "X" "STANDING" 14 -0.0220886526891667
"75" "tBodyGyro" "mean" "X" "STANDING" 15 -0.0262433562254717
"76" "tBodyGyro" "mean" "X" "STANDING" 16 -0.0299337294166667
"77" "tBodyGyro" "mean" "X" "STANDING" 17 -0.0269576937130769
"78" "tBodyGyro" "mean" "X" "STANDING" 18 -0.0265873248835616
"79" "tBodyGyro" "mean" "X" "STANDING" 19 -0.025090574020274
"80" "tBodyGyro" "mean" "X" "STANDING" 20 -0.0241335049573973
"81" "tBodyGyro" "mean" "X" "STANDING" 21 -0.0191731896359551
"82" "tBodyGyro" "mean" "X" "STANDING" 22 -0.0275201762126984
"83" "tBodyGyro" "mean" "X" "STANDING" 23 -0.0327397745133823
"84" "tBodyGyro" "mean" "X" "STANDING" 24 -0.0278611511434783
"85" "tBodyGyro" "mean" "X" "STANDING" 25 -0.0247946750959459
"86" "tBodyGyro" "mean" "X" "STANDING" 26 -0.0245345837959459
"87" "tBodyGyro" "mean" "X" "STANDING" 27 -0.026731653905
"88" "tBodyGyro" "mean" "X" "STANDING" 28 -0.0253281543540506
"89" "tBodyGyro" "mean" "X" "STANDING" 29 -0.0276075573307692
"90" "tBodyGyro" "mean" "X" "STANDING" 30 -0.027613853538983
"91" "tBodyGyro" "mean" "X" "WALKING" 1 -0.041830963526
"92" "tBodyGyro" "mean" "X" "WALKING" 2 -0.0530258157347458
"93" "tBodyGyro" "mean" "X" "WALKING" 3 -0.0256405192517241
"94" "tBodyGyro" "mean" "X" "WALKING" 4 -0.0317982557795
"95" "tBodyGyro" "mean" "X" "WALKING" 5 -0.0488919896632143
"96" "tBodyGyro" "mean" "X" "WALKING" 6 -0.025509618645614
"97" "tBodyGyro" "mean" "X" "WALKING" 7 0.00228835208526316
"98" "tBodyGyro" "mean" "X" "WALKING" 8 0.0235088228254167
"99" "tBodyGyro" "mean" "X" "WALKING" 9 -0.0808360598653846
"100" "tBodyGyro" "mean" "X" "WALKING" 10 0.0106894976215094
"101" "tBodyGyro" "mean" "X" "WALKING" 11 -0.0426928995457627
"102" "tBodyGyro" "mean" "X" "WALKING" 12 -0.1045136708758
"103" "tBodyGyro" "mean" "X" "WALKING" 13 -0.0174207634701754
"104" "tBodyGyro" "mean" "X" "WALKING" 14 -0.00347655062271186
"105" "tBodyGyro" "mean" "X" "WALKING" 15 -0.0554883847662963
"106" "tBodyGyro" "mean" "X" "WALKING" 16 -0.0151721912792157
"107" "tBodyGyro" "mean" "X" "WALKING" 17 -0.00922265519180328
"108" "tBodyGyro" "mean" "X" "WALKING" 18 -0.0399399716026786
"109" "tBodyGyro" "mean" "X" "WALKING" 19 -0.0274970979894231
"110" "tBodyGyro" "mean" "X" "WALKING" 20 -0.0234104225980392
"111" "tBodyGyro" "mean" "X" "WALKING" 21 -0.0459323393842308
"112" "tBodyGyro" "mean" "X" "WALKING" 22 0.0007771571
"113" "tBodyGyro" "mean" "X" "WALKING" 23 -0.0631156870355932
"114" "tBodyGyro" "mean" "X" "WALKING" 24 -0.0545126870724138
"115" "tBodyGyro" "mean" "X" "WALKING" 25 -0.0156305378067568
"116" "tBodyGyro" "mean" "X" "WALKING" 26 -0.00334085938813559
"117" "tBodyGyro" "mean" "X" "WALKING" 27 -0.08558835714
"118" "tBodyGyro" "mean" "X" "WALKING" 28 -0.105896207861111
"119" "tBodyGyro" "mean" "X" "WALKING" 29 -0.00795668167188679
"120" "tBodyGyro" "mean" "X" "WALKING" 30 -0.0459505355861538
"121" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 1 -0.0350781902989796
"122" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 2 -0.11594735287234
"123" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 3 -0.13157327645102
"124" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 4 -0.102838822533333
"125" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 5 -0.068294569906383
"126" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 6 -0.0960837437708333
"127" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 7 -0.105409612961702
"128" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 8 -0.121189625973684
"129" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 9 -0.0916383011071429
"130" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 10 -0.124839594289474
"131" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 11 -0.12506869905
"132" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 12 -0.112531564434783
"133" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 13 -0.122672201757447
"134" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 14 -0.0147079653333333
"135" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 15 -0.136618653071429
"136" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 16 -0.0225373369978723
"137" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 17 0.0677728390673913
"138" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 18 -0.0576548655654545
"139" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 19 -0.205775427307692
"140" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 20 -0.111367747557778
"141" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 21 -0.126388023595556
"142" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 22 -0.0779611213138889
"143" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 23 -0.0578230190203704
"144" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 24 -0.0867069010690909
"145" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 25 0.00299112856551724
"146" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 26 -0.010752208236
"147" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 27 -0.159826551905227
"148" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 28 -0.141096309502174
"149" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 29 -0.0374126070957292
"150" "tBodyGyro" "mean" "X" "WALKING_DOWNSTAIRS" 30 -0.0745591301759677
"151" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 1 0.050549379754717
"152" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 2 -0.0576912634583333
"153" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 3 0.0721980309322034
"154" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 4 0.0393825198942308
"155" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 5 0.0395191121489362
"156" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 6 -0.0767406825588235
"157" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 7 -0.138778108029412
"158" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 8 0.19270447595122
"159" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 9 -0.16396719
"160" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 10 0.0733447168425532
"161" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 11 -0.0820909701727778
"162" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 12 -0.0931234101769231
"163" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 13 -0.13829376226
"164" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 14 0.0813841685037037
"165" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 15 0.0903340029875
"166" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 16 0.0718408878078431
"167" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 17 -0.0304250571395833
"168" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 18 -0.0470683915017241
"169" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 19 0.0388537087875
"170" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 20 0.0659193258862745
"171" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 21 0.062608688893617
"172" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 22 0.13497880785381
"173" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 23 0.0957940245941176
"174" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 24 0.0883163772152542
"175" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 25 0.0556121923307692
"176" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 26 -0.0247950825654545
"177" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 27 -0.0940344886803922
"178" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 28 -0.129362970764706
"179" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 29 0.0931989463020408
"180" "tBodyGyro" "mean" "X" "WALKING_UPSTAIRS" 30 -0.00355974576923077
"181" "tBodyGyro" "mean" "Y" "LAYING" 1 -0.064486124088
"182" "tBodyGyro" "mean" "Y" "LAYING" 2 -0.111800824583333
"183" "tBodyGyro" "mean" "Y" "LAYING" 3 -0.0718507159435484
"184" "tBodyGyro" "mean" "Y" "LAYING" 4 -0.0930128180759259
"185" "tBodyGyro" "mean" "Y" "LAYING" 5 -0.0798709596153846
"186" "tBodyGyro" "mean" "Y" "LAYING" 6 -0.107218315054386
"187" "tBodyGyro" "mean" "Y" "LAYING" 7 -0.133605695057692
"188" "tBodyGyro" "mean" "Y" "LAYING" 8 -0.0891374138592593
"189" "tBodyGyro" "mean" "Y" "LAYING" 9 -0.15890291983
"190" "tBodyGyro" "mean" "Y" "LAYING" 10 -0.0770325657265517
"191" "tBodyGyro" "mean" "Y" "LAYING" 11 -0.041559989822807
"192" "tBodyGyro" "mean" "Y" "LAYING" 12 -0.0835537350333333
"193" "tBodyGyro" "mean" "Y" "LAYING" 13 -0.0966250701451613
"194" "tBodyGyro" "mean" "Y" "LAYING" 14 -0.153423807745098
"195" "tBodyGyro" "mean" "Y" "LAYING" 15 -0.0619700871944444
"196" "tBodyGyro" "mean" "Y" "LAYING" 16 -0.113675060885714
"197" "tBodyGyro" "mean" "Y" "LAYING" 17 -0.0944580192535211
"198" "tBodyGyro" "mean" "Y" "LAYING" 18 -0.0837587308153846
"199" "tBodyGyro" "mean" "Y" "LAYING" 19 -0.0952628014096386
"200" "tBodyGyro" "mean" "Y" "LAYING" 20 -0.0954899626029412
"201" "tBodyGyro" "mean" "Y" "LAYING" 21 -0.113800486377778
"202" "tBodyGyro" "mean" "Y" "LAYING" 22 -0.09257231175
"203" "tBodyGyro" "mean" "Y" "LAYING" 23 -0.105052917
"204" "tBodyGyro" "mean" "Y" "LAYING" 24 -0.0955538053611111
"205" "tBodyGyro" "mean" "Y" "LAYING" 25 -0.0716401726150685
"206" "tBodyGyro" "mean" "Y" "LAYING" 26 -0.0903229228815789
"207" "tBodyGyro" "mean" "Y" "LAYING" 27 -0.0957839566891892
"208" "tBodyGyro" "mean" "Y" "LAYING" 28 -0.097448733725
"209" "tBodyGyro" "mean" "Y" "LAYING" 29 -0.0761814357028986
"210" "tBodyGyro" "mean" "Y" "LAYING" 30 -0.0761476351714286
"211" "tBodyGyro" "mean" "Y" "SITTING" 1 -0.0919241549361702
"212" "tBodyGyro" "mean" "Y" "SITTING" 2 -0.0599286797043478
"213" "tBodyGyro" "mean" "Y" "SITTING" 3 -0.07524100275
"214" "tBodyGyro" "mean" "Y" "SITTING" 4 -0.08943006108
"215" "tBodyGyro" "mean" "Y" "SITTING" 5 -0.0835484079545455
"216" "tBodyGyro" "mean" "Y" "SITTING" 6 -0.0899083302550909
"217" "tBodyGyro" "mean" "Y" "SITTING" 7 -0.03361196465625
"218" "tBodyGyro" "mean" "Y" "SITTING" 8 -0.0955089236521739
"219" "tBodyGyro" "mean" "Y" "SITTING" 9 -0.04142711812
"220" "tBodyGyro" "mean" "Y" "SITTING" 10 -0.0679993598888889
"221" "tBodyGyro" "mean" "Y" "SITTING" 11 -0.0755284478679245
"222" "tBodyGyro" "mean" "Y" "SITTING" 12 -0.0751980398235294
"223" "tBodyGyro" "mean" "Y" "SITTING" 13 -0.0902687401836735
"224" "tBodyGyro" "mean" "Y" "SITTING" 14 -0.0713478280925926
"225" "tBodyGyro" "mean" "Y" "SITTING" 15 -0.0803428762830509
"226" "tBodyGyro" "mean" "Y" "SITTING" 16 -0.0574525433043478
"227" "tBodyGyro" "mean" "Y" "SITTING" 17 -0.0669245931234375
"228" "tBodyGyro" "mean" "Y" "SITTING" 18 -0.0685796341105263
"229" "tBodyGyro" "mean" "Y" "SITTING" 19 -0.0520207886438356
"230" "tBodyGyro" "mean" "Y" "SITTING" 20 -0.0650689347121212
"231" "tBodyGyro" "mean" "Y" "SITTING" 21 -0.0653077503317647
"232" "tBodyGyro" "mean" "Y" "SITTING" 22 -0.0793617444354839
"233" "tBodyGyro" "mean" "Y" "SITTING" 23 -0.0684325551029412
"234" "tBodyGyro" "mean" "Y" "SITTING" 24 -0.0750132697044118
"235" "tBodyGyro" "mean" "Y" "SITTING" 25 -0.0748002714615385
"236" "tBodyGyro" "mean" "Y" "SITTING" 26 -0.0840648503320513
"237" "tBodyGyro" "mean" "Y" "SITTING" 27 -0.0797345645214286
"238" "tBodyGyro" "mean" "Y" "SITTING" 28 -0.0673943850555556
"239" "tBodyGyro" "mean" "Y" "SITTING" 29 -0.0755797672133333
"240" "tBodyGyro" "mean" "Y" "SITTING" 30 -0.074353558416129
"241" "tBodyGyro" "mean" "Y" "STANDING" 1 -0.0593972209811321
"242" "tBodyGyro" "mean" "Y" "STANDING" 2 -0.0820396577592593
"243" "tBodyGyro" "mean" "Y" "STANDING" 3 -0.0585101918262295
"244" "tBodyGyro" "mean" "Y" "STANDING" 4 -0.061824850625
"245" "tBodyGyro" "mean" "Y" "STANDING" 5 -0.050987505
"246" "tBodyGyro" "mean" "Y" "STANDING" 6 -0.0589823639438597
"247" "tBodyGyro" "mean" "Y" "STANDING" 7 -0.0774336443396226
"248" "tBodyGyro" "mean" "Y" "STANDING" 8 -0.0280117633814815
"249" "tBodyGyro" "mean" "Y" "STANDING" 9 -0.060810158296
"250" "tBodyGyro" "mean" "Y" "STANDING" 10 -0.0876820486363636
"251" "tBodyGyro" "mean" "Y" "STANDING" 11 -0.0765465041914894
"252" "tBodyGyro" "mean" "Y" "STANDING" 12 -0.0700083750360656
"253" "tBodyGyro" "mean" "Y" "STANDING" 13 -0.0753205243684211
"254" "tBodyGyro" "mean" "Y" "STANDING" 14 -0.05581088271
"255" "tBodyGyro" "mean" "Y" "STANDING" 15 -0.0659637517169811
"256" "tBodyGyro" "mean" "Y" "STANDING" 16 -0.068667733
"257" "tBodyGyro" "mean" "Y" "STANDING" 17 -0.0770632126371795
"258" "tBodyGyro" "mean" "Y" "STANDING" 18 -0.0732260127945206
"259" "tBodyGyro" "mean" "Y" "STANDING" 19 -0.0631429827260274
"260" "tBodyGyro" "mean" "Y" "STANDING" 20 -0.0698308923617808
"261" "tBodyGyro" "mean" "Y" "STANDING" 21 -0.0738115865407865
"262" "tBodyGyro" "mean" "Y" "STANDING" 22 -0.0690067688269841
"263" "tBodyGyro" "mean" "Y" "STANDING" 23 -0.0652264793213235
"264" "tBodyGyro" "mean" "Y" "STANDING" 24 -0.0692546674492754
"265" "tBodyGyro" "mean" "Y" "STANDING" 25 -0.0698876853378378
"266" "tBodyGyro" "mean" "Y" "STANDING" 26 -0.0731385762635135
"267" "tBodyGyro" "mean" "Y" "STANDING" 27 -0.067507120075
"268" "tBodyGyro" "mean" "Y" "STANDING" 28 -0.0739001646962025
"269" "tBodyGyro" "mean" "Y" "STANDING" 29 -0.0721060679123077
"270" "tBodyGyro" "mean" "Y" "STANDING" 30 -0.0670334379830509
"271" "tBodyGyro" "mean" "Y" "WALKING" 1 -0.0695300462115789
"272" "tBodyGyro" "mean" "Y" "WALKING" 2 -0.0482382316949153
"273" "tBodyGyro" "mean" "Y" "WALKING" 3 -0.0779150937413793
"274" "tBodyGyro" "mean" "Y" "WALKING" 4 -0.0726905278583333
"275" "tBodyGyro" "mean" "Y" "WALKING" 5 -0.0690135249642857
"276" "tBodyGyro" "mean" "Y" "WALKING" 6 -0.0744462466
"277" "tBodyGyro" "mean" "Y" "WALKING" 7 -0.0837113724842105
"278" "tBodyGyro" "mean" "Y" "WALKING" 8 -0.095791790535
"279" "tBodyGyro" "mean" "Y" "WALKING" 9 -0.0625598710615385
"280" "tBodyGyro" "mean" "Y" "WALKING" 10 -0.0819540783760943
"281" "tBodyGyro" "mean" "Y" "WALKING" 11 -0.0705104974254237
"282" "tBodyGyro" "mean" "Y" "WALKING" 12 -0.03442910782
"283" "tBodyGyro" "mean" "Y" "WALKING" 13 -0.0798472502663158
"284" "tBodyGyro" "mean" "Y" "WALKING" 14 -0.0829682847966102
"285" "tBodyGyro" "mean" "Y" "WALKING" 15 -0.06124278833
"286" "tBodyGyro" "mean" "Y" "WALKING" 16 -0.0695955689607843
"287" "tBodyGyro" "mean" "Y" "WALKING" 17 -0.0839773343770492
"288" "tBodyGyro" "mean" "Y" "WALKING" 18 -0.0613727362975
"289" "tBodyGyro" "mean" "Y" "WALKING" 19 -0.0751569333730769
"290" "tBodyGyro" "mean" "Y" "WALKING" 20 -0.074105054612549
"291" "tBodyGyro" "mean" "Y" "WALKING" 21 -0.0590294439942308
"292" "tBodyGyro" "mean" "Y" "WALKING" 22 -0.0960880731804348
"293" "tBodyGyro" "mean" "Y" "WALKING" 23 -0.0640197920966102
"294" "tBodyGyro" "mean" "Y" "WALKING" 24 -0.0658435879913793
"295" "tBodyGyro" "mean" "Y" "WALKING" 25 -0.0820768065347297
"296" "tBodyGyro" "mean" "Y" "WALKING" 26 -0.0841507651508475
"297" "tBodyGyro" "mean" "Y" "WALKING" 27 -0.0365348163649123
"298" "tBodyGyro" "mean" "Y" "WALKING" 28 -0.0172822168012963
"299" "tBodyGyro" "mean" "Y" "WALKING" 29 -0.081960153154717
"300" "tBodyGyro" "mean" "Y" "WALKING" 30 -0.0649170927338462
"301" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 1 -0.0909371290204082
"302" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 2 -0.00482329231914894
"303" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 3 -0.0139358043959184
"304" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 4 -0.0704025952333333
"305" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 5 -0.0707805998787234
"306" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 6 -0.0341782208604167
"307" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 7 -0.049717460606383
"308" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 8 -0.0500760173342105
"309" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 9 -0.0712598843142857
"310" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 10 -0.106742538831579
"311" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 11 -0.0262775345369565
"312" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 12 -0.0427336692521739
"313" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 13 -0.0237205719148936
"314" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 14 -0.0945288409066667
"315" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 15 -0.0346755727619048
"316" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 16 -0.068264792706383
"317" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 17 -0.123517195928261
"318" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 18 -0.0636214336761818
"319" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 19 0.0274707556666667
"320" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 20 0.0139023395111111
"321" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 21 0.0162145300888889
"322" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 22 -0.0697154455833333
"323" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 23 -0.0853077464277778
"324" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 24 -0.0542300245127273
"325" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 25 -0.101115076366897
"326" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 26 -0.1003822042168
"327" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 27 -0.0163131590545455
"328" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 28 0.00710564286763044
"329" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 29 -0.0851045889895833
"330" "tBodyGyro" "mean" "Y" "WALKING_DOWNSTAIRS" 30 -0.0693112411951613
"331" "tBodyGyro" "mean" "Y" "WALKING_UPSTAIRS" 1 -0.166170015088679
"332" "tBodyGyro" "mean" "Y" "WALKING_UPSTAIRS" 2 -0.0320883097395833
"333" "tBodyGyro" "mean" "Y" "WALKING_UPSTAIRS" 3 -0.139275405637288
"334" "tBodyGyro" "mean" "Y" "WALKING_UPSTAIRS" 4 -0.0859471683596154
"335" "tBodyGyro" "mean" "Y" "WALKING_UPSTAIRS" 5 -0.117195551802128
"336" "tBodyGyro" "mean" "Y" "WALKING_UPSTAIRS" 6 -0.0518981989072549
"337" "tBodyGyro" "mean" "Y" "WALKING_UPSTAIRS" 7 -0.00247161973
"338" "tBodyGyro" "mean" "Y" "WALKING_UPSTAIRS" 8 -0.204205356087805
"339" "tBodyGyro" "mean" "Y" "WALKING_UPSTAIRS" 9 -0.0412587909579592
"340" "tBodyGyro" "mean" "Y" "WALKING_UPSTAIRS" 10 -0.0954600216446809
